RowID ^ StrongsSequence ^ Count
275 ^ G1199 ^ 20
276 ^ G12 ^ 9
277 ^ G120 ^ 1
278 ^ G1200 ^ 3
279 ^ G1201 ^ 4
280 ^ G1202 ^ 2
281 ^ G1203 ^ 9
282 ^ G1204 ^ 8
283 ^ G1205 ^ 12
284 ^ G1205-G3694 ^ 1
285 ^ G1206 ^ 1
286 ^ G1207-G4521 ^ 1
287 ^ G1208 ^ 41
288 ^ G1209 ^ 58
289 ^ G1209-G846-G846 ^ 1
290 ^ G121 ^ 2
291 ^ G1210 ^ 43
292 ^ G1210-G2532 ^ 1
293 ^ G1211 ^ 4
294 ^ G1212 ^ 2
295 ^ G1212-G3754 ^ 1
296 ^ G1213 ^ 7
297 ^ G1214 ^ 3
298 ^ G1215 ^ 1
299 ^ G1216 ^ 3
300 ^ G1217 ^ 1
301 ^ G1218 ^ 4
302 ^ G1219 ^ 4
303 ^ G122-G1192 ^ 1
304 ^ G1220 ^ 16
305 ^ G1222 ^ 1
306 ^ G1223 ^ 471
307 ^ G1223-G1343 ^ 1
308 ^ G1223-G1391 ^ 1
309 ^ G1223-G1565 ^ 1
310 ^ G1223-G203 ^ 1
311 ^ G1223-G2248 ^ 2
312 ^ G1223-G2257-G2962-G2424-G5547 ^ 1
313 ^ G1223-G2266 ^ 2
314 ^ G1223-G2424 ^ 3
315 ^ G1223-G26 ^ 1
316 ^ G1223-G3056 ^ 1
317 ^ G1223-G3450-G3686 ^ 6
318 ^ G1223-G3588-G1588 ^ 3
319 ^ G1223-G3588-G2098 ^ 1
320 ^ G1223-G3588-G225 ^ 1
321 ^ G1223-G3588-G2962 ^ 1
322 ^ G1223-G3588-G3056 ^ 1
323 ^ G1223-G3588-G3727 ^ 1
324 ^ G1223-G3588-G3962 ^ 1
325 ^ G1223-G3588-G846-G2041 ^ 1
326 ^ G1223-G3588-G932-G3772 ^ 1
327 ^ G1223-G3641 ^ 1
328 ^ G1223-G3650 ^ 1
329 ^ G1223-G3727 ^ 1
330 ^ G1223-G3739 ^ 7
331 ^ G1223-G3739-G156 ^ 3
332 ^ G1223-G3956 ^ 3
333 ^ G1223-G3956-G2540 ^ 1
334 ^ G1223-G4675-G4751 ^ 1
335 ^ G1223-G4893 ^ 3
336 ^ G1223-G5026 ^ 3
337 ^ G1223-G5124 ^ 63
338 ^ G1223-G5124-G3767 ^ 1
339 ^ G1223-G5209 ^ 9
340 ^ G1223-G5547 ^ 1
341 ^ G1223-G846 ^ 5
342 ^ G1223-G846-G2041 ^ 1
343 ^ G1223-G848-G3686 ^ 1
344 ^ G1224 ^ 3
345 ^ G1225 ^ 1
346 ^ G1226 ^ 2
347 ^ G1227 ^ 2
348 ^ G1228 ^ 38
349 ^ G1229 ^ 3
350 ^ G123 ^ 6
351 ^ G1230 ^ 3
352 ^ G1231 ^ 2
353 ^ G1232 ^ 1
354 ^ G1233 ^ 1
355 ^ G1234 ^ 2
356 ^ G1235 ^ 1
357 ^ G1236 ^ 2
358 ^ G1237 ^ 1
359 ^ G1238 ^ 3
360 ^ G1239 ^ 5
361 ^ G124 ^ 5
362 ^ G1241 ^ 3
363 ^ G1242 ^ 33
364 ^ G1243 ^ 3
365 ^ G1244 ^ 2
366 ^ G1245 ^ 2
367 ^ G1246 ^ 1
368 ^ G1247 ^ 37
369 ^ G1248 ^ 32
370 ^ G1249 ^ 30
371 ^ G125 ^ 24
372 ^ G1250 ^ 5
373 ^ G1250-G1440-G1803 ^ 1
374 ^ G1251 ^ 1
375 ^ G1252 ^ 16
376 ^ G1252-G3756-G2532 ^ 1
377 ^ G1252-G3762 ^ 1
378 ^ G1252-G4571 ^ 1
379 ^ G1253 ^ 3
380 ^ G1254 ^ 1
381 ^ G1255 ^ 2
382 ^ G1256 ^ 13
383 ^ G1257 ^ 1
384 ^ G1258 ^ 6
385 ^ G1259 ^ 1
386 ^ G126 ^ 2
387 ^ G1260 ^ 16
388 ^ G1261 ^ 14
389 ^ G1262 ^ 1
390 ^ G1263 ^ 15
391 ^ G1264 ^ 1
392 ^ G1265 ^ 5
393 ^ G1266 ^ 12
394 ^ G1267 ^ 1
395 ^ G1268 ^ 1
396 ^ G127 ^ 2
397 ^ G1270 ^ 1
398 ^ G1271 ^ 13
399 ^ G1272 ^ 8
400 ^ G1274 ^ 1
401 ^ G1275 ^ 7
402 ^ G1276 ^ 6
403 ^ G1277 ^ 1
404 ^ G1278 ^ 2
405 ^ G1279 ^ 5
406 ^ G128 ^ 2
407 ^ G1280 ^ 5
408 ^ G1281 ^ 1
409 ^ G1282 ^ 2
410 ^ G1283 ^ 4
411 ^ G1284 ^ 5
412 ^ G1285 ^ 1
413 ^ G1286 ^ 1
414 ^ G1287 ^ 9
415 ^ G1288 ^ 2
416 ^ G1289 ^ 2
417 ^ G1289-G3303 ^ 1
418 ^ G129 ^ 99
419 ^ G1290 ^ 2
420 ^ G1291 ^ 7
421 ^ G1291-G3756 ^ 1
422 ^ G1292 ^ 1
423 ^ G1293 ^ 3
424 ^ G1294 ^ 7
425 ^ G1295 ^ 7
426 ^ G1295-G3956 ^ 1
427 ^ G1296 ^ 2
428 ^ G1297 ^ 1
429 ^ G1298 ^ 1
430 ^ G1299 ^ 16
431 ^ G13 ^ 2
432 ^ G130 ^ 1
433 ^ G1300 ^ 1
434 ^ G1301 ^ 2
435 ^ G1302 ^ 27
436 ^ G1303 ^ 7
437 ^ G1304 ^ 10
438 ^ G1305 ^ 1
439 ^ G1306 ^ 1
440 ^ G1307 ^ 1
441 ^ G1308 ^ 9
442 ^ G1308-G3762 ^ 1
443 ^ G1308-G444 ^ 1
444 ^ G1308-G5210 ^ 1
445 ^ G1308-G5210-G3756-G3123 ^ 1
446 ^ G1309 ^ 1
447 ^ G131 ^ 1
448 ^ G1310 ^ 2
449 ^ G1310-G846 ^ 1
450 ^ G1311 ^ 6
451 ^ G1312 ^ 6
452 ^ G1313 ^ 4
453 ^ G1314 ^ 1
454 ^ G1315 ^ 2
455 ^ G1316 ^ 1
456 ^ G1317 ^ 2
457 ^ G1318 ^ 3
458 ^ G1319 ^ 21
459 ^ G132 ^ 2
460 ^ G1320 ^ 58
461 ^ G1321 ^ 91
462 ^ G1321-G2532 ^ 1
463 ^ G1321-G3767 ^ 1
464 ^ G1322 ^ 28
465 ^ G1322-G1519 ^ 1
466 ^ G1323 ^ 2
467 ^ G1324 ^ 3
468 ^ G1325 ^ 402
469 ^ G1325-G2424-G4475 ^ 1
470 ^ G1325-G2532 ^ 2
471 ^ G1325-G302 ^ 1
472 ^ G1325-G4991 ^ 1
473 ^ G1325-G5100-G1464 ^ 1
474 ^ G1325-G846 ^ 3
475 ^ G1325-G846-G1096-G1717 ^ 1
476 ^ G1325-G846-G4475 ^ 1
477 ^ G1326 ^ 6
478 ^ G1326-G5209 ^ 1
479 ^ G1327-G3598 ^ 1
480 ^ G1328 ^ 1
481 ^ G1329 ^ 6
482 ^ G133 ^ 1
483 ^ G1330 ^ 41
484 ^ G1330-G3056 ^ 1
485 ^ G1331 ^ 1
486 ^ G1332 ^ 1
487 ^ G1333-G3650 ^ 1
488 ^ G1334 ^ 8
489 ^ G1335 ^ 1
490 ^ G1337 ^ 1
491 ^ G1338 ^ 1
492 ^ G1339 ^ 1
493 ^ G1339-G1024 ^ 1
494 ^ G1339-G3391-G5610 ^ 1
495 ^ G134 ^ 9
496 ^ G1340 ^ 2
497 ^ G1341 ^ 1
498 ^ G1342 ^ 81
499 ^ G1343 ^ 89
500 ^ G1343-G2532 ^ 1
501 ^ G1344 ^ 39
502 ^ G1344-G302 ^ 1
503 ^ G1345 ^ 10
504 ^ G1346 ^ 4
505 ^ G1347 ^ 2
506 ^ G1348 ^ 3
507 ^ G1349 ^ 3
508 ^ G1350 ^ 12
509 ^ G1351 ^ 1
510 ^ G1352 ^ 52
511 ^ G1352-G2532 ^ 1
512 ^ G1353 ^ 2
513 ^ G1354 ^ 1
514 ^ G1355 ^ 3
515 ^ G1356 ^ 1
516 ^ G1357 ^ 1
517 ^ G1358 ^ 4
518 ^ G1359 ^ 1
519 ^ G136 ^ 2
520 ^ G1360 ^ 22
521 ^ G1361 ^ 1
522 ^ G1362 ^ 4
523 ^ G1363 ^ 1
524 ^ G1364 ^ 4
525 ^ G1365 ^ 2
526 ^ G1366 ^ 3
527 ^ G1367 ^ 1
528 ^ G1368 ^ 1
529 ^ G1369-G444 ^ 1
530 ^ G137 ^ 1
531 ^ G1370 ^ 3
532 ^ G1371-G846 ^ 2
533 ^ G1372 ^ 17
534 ^ G1374 ^ 2
535 ^ G1375 ^ 10
536 ^ G1376 ^ 1
537 ^ G1377 ^ 43
538 ^ G1377-G3767 ^ 1
539 ^ G1378 ^ 5
540 ^ G1379 ^ 1
541 ^ G138 ^ 3
542 ^ G1380 ^ 63
543 ^ G1381 ^ 22
544 ^ G1381-G5607 ^ 1
545 ^ G1382 ^ 7
546 ^ G1383 ^ 2
547 ^ G1384 ^ 7
548 ^ G1385 ^ 6
549 ^ G1386 ^ 1
550 ^ G1387 ^ 1
551 ^ G1388 ^ 12
552 ^ G1389-G3588-G3056-G2316 ^ 1
553 ^ G139 ^ 9
554 ^ G1390 ^ 4
555 ^ G1391 ^ 164
556 ^ G1392 ^ 61
557 ^ G1392-G3761 ^ 1
558 ^ G1393 ^ 2
559 ^ G1394 ^ 2
560 ^ G1395 ^ 1
561 ^ G1396 ^ 1
562 ^ G1397 ^ 5
563 ^ G1398 ^ 24
564 ^ G1398-G4455 ^ 1
565 ^ G1399 ^ 3
566 ^ G14 ^ 1
567 ^ G140 ^ 1
568 ^ G1400 ^ 2
569 ^ G1401 ^ 125
570 ^ G1402 ^ 6
571 ^ G1402-G1683 ^ 1
572 ^ G1402-G846 ^ 1
573 ^ G1403 ^ 2
574 ^ G1404 ^ 13
575 ^ G1405 ^ 1
576 ^ G1406 ^ 3
577 ^ G1407 ^ 8
578 ^ G1408 ^ 3
579 ^ G1409 ^ 1
580 ^ G141 ^ 1
581 ^ G1410 ^ 152
582 ^ G1410-G302 ^ 1
583 ^ G1410-G3361 ^ 4
584 ^ G1410-G3385 ^ 1
585 ^ G1410-G3756 ^ 49
586 ^ G1410-G3777 ^ 1
587 ^ G1411 ^ 118
588 ^ G1412 ^ 1
589 ^ G1413 ^ 3
590 ^ G1414 ^ 1
591 ^ G1415 ^ 34
592 ^ G1416 ^ 2
593 ^ G1417 ^ 128
594 ^ G1417-G1417 ^ 1
595 ^ G1417-G1519 ^ 1
596 ^ G1417-G3461-G3461 ^ 1
597 ^ G1419 ^ 2
598 ^ G142 ^ 93
599 ^ G142-G2257-G5590 ^ 1
600 ^ G142-G4571 ^ 2
601 ^ G142-G537 ^ 1
602 ^ G142-G788 ^ 1
603 ^ G142-G846 ^ 4
604 ^ G1420 ^ 1
605 ^ G1421 ^ 1
606 ^ G1422 ^ 1
607 ^ G1423 ^ 3
608 ^ G1424 ^ 5
609 ^ G1425 ^ 1
610 ^ G1426 ^ 1
611 ^ G1427 ^ 70
612 ^ G1427-G2094 ^ 1
613 ^ G1428 ^ 1
614 ^ G1429 ^ 1
615 ^ G143 ^ 1
616 ^ G1430 ^ 7
617 ^ G1431 ^ 11
618 ^ G1432 ^ 9
619 ^ G1433 ^ 3
620 ^ G1434 ^ 2
